2016-06-28 15:59:40,500 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 15:59:40,564 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 15:59:41,037 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 15:59:41,111 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 16:31:21,127 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:31:21,205 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:31:21,688 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 16:31:21,723 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 16:31:22,191 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 16:31:22,225 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 16:31:22,737 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 16:31:22,770 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 16:31:23,282 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 16:31:23,358 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 16:31:23,873 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 16:31:23,943 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 16:31:24,436 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 16:31:24,507 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 16:32:33,852 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:33,935 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,033 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,135 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,236 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,337 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,437 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,539 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:34,646 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:35,985 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:36,066 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 16:32:36,570 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 16:32:36,601 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 16:32:37,088 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 16:32:37,121 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 16:32:37,691 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 16:32:37,727 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 16:32:38,231 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 16:32:38,302 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 16:32:38,834 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 16:32:38,898 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 16:32:39,414 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
